No.;Time;Source;Destination;Protocol;Length;Info
10894;47.345.763.941;10.0.2.4;10.0.2.5;TCP;66;37052  >  445 [ACK] Seq=528 Ack=836 Win=64128 Len=0 TSval=71728473 TSecr=205923
10895;47.359.812.646;10.0.2.4;10.0.2.5;SMB2;239;Session Setup Request, NTLMSSP_AUTH, User: \\[Malformed Packet]
10896;47.360.745.762;10.0.2.5;10.0.2.4;SMB2;151;Session Setup Response
10897;47.360.782.772;10.0.2.4;10.0.2.5;TCP;66;37052  >  445 [ACK] Seq=701 Ack=921 Win=64128 Len=0 TSval=71728488 TSecr=205925
10898;47.373.377.244;10.0.2.4;10.0.2.5;SMB2;168;Tree Connect Request Tree: \\\\HETEAM\\IPC$
10899;47.373.886.182;10.0.2.5;10.0.2.4;SMB2;150;Tree Connect Response
10900;47.373.921.640;10.0.2.4;10.0.2.5;TCP;66;37052  >  445 [ACK] Seq=803 Ack=1005 Win=64128 Len=0 TSval=71728502 TSecr=205926
10901;47.388.211.375;10.0.2.4;10.0.2.5;SMB2;202;Create Request File: lsarpc
10902;47.388.681.625;10.0.2.5;10.0.2.4;SMB2;143;Create Response, Error: STATUS_ACCESS_DENIED
10903;47.388.709.648;10.0.2.4;10.0.2.5;TCP;66;37052  >  445 [ACK] Seq=939 Ack=1082 Win=64128 Len=0 TSval=71728516 TSecr=205928
10904;47.401.970.703;10.0.2.4;10.0.2.5;SMB2;138;Tree Disconnect Request
10905;47.402.442.644;10.0.2.5;10.0.2.4;SMB2;138;Tree Disconnect Response
10906;47.402.476.528;10.0.2.4;10.0.2.5;TCP;66;37052  >  445 [ACK] Seq=1011 Ack=1154 Win=64128 Len=0 TSval=71728530 TSecr=205929
10907;47.416.439.999;10.0.2.4;10.0.2.5;SMB2;138;Session Logoff Request
10908;47.416.901.122;10.0.2.5;10.0.2.4;SMB2;138;Session Logoff Response
10909;47.416.925.966;10.0.2.4;10.0.2.5;TCP;66;37052  >  445 [ACK] Seq=1083 Ack=1226 Win=64128 Len=0 TSval=71728545 TSecr=205930
10910;47.425.751.209;10.0.2.4;10.0.2.5;TCP;66;37052  >  445 [RST, ACK] Seq=1083 Ack=1226 Win=64128 Len=0 TSval=71728553 TSecr=205930
10911;47.440.280.721;10.0.2.4;10.0.2.5;TCP;74;37054  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=71728568 TSecr=0 WS=128
10912;47.440.723.416;10.0.2.5;10.0.2.4;TCP;74;445  >  37054 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=205933 TSecr=71728568
10913;47.440.751.361;10.0.2.4;10.0.2.5;TCP;66;37054  >  445 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=71728568 TSecr=205933
10914;47.451.943.231;10.0.2.4;10.0.2.5;SMB;241;Negotiate Protocol Request
10915;47.452.630.938;10.0.2.5;10.0.2.4;SMB2;318;Negotiate Protocol Response
10916;47.452.668.662;10.0.2.4;10.0.2.5;TCP;66;37054  >  445 [ACK] Seq=176 Ack=253 Win=64128 Len=0 TSval=71728580 TSecr=205934
10917;47.489.289.611;10.0.2.4;10.0.2.5;SMB2;252;Negotiate Protocol Request
10918;47.489.968.028;10.0.2.5;10.0.2.4;SMB2;318;Negotiate Protocol Response
10919;47.489.998.453;10.0.2.4;10.0.2.5;TCP;66;37054  >  445 [ACK] Seq=362 Ack=505 Win=64128 Len=0 TSval=71728618 TSecr=205938
10920;47.523.380.166;10.0.2.4;10.0.2.5;SMB2;232;Session Setup Request, NTLMSSP_NEGOTIATE
10921;47.523.942.178;10.0.2.5;10.0.2.4;SMB2;397;Session Setup Response, Error: STATUS_MORE_PROCESSING_REQUIRED, NTLMSSP_CHALLENGE
10922;47.523.974.593;10.0.2.4;10.0.2.5;TCP;66;37054  >  445 [ACK] Seq=528 Ack=836 Win=64128 Len=0 TSval=71728652 TSecr=205941
10923;47.541.988.464;10.0.2.4;10.0.2.5;SMB2;239;Session Setup Request, NTLMSSP_AUTH, User: \\[Malformed Packet]
10924;47.542.913.818;10.0.2.5;10.0.2.4;SMB2;151;Session Setup Response
10925;47.542.940.827;10.0.2.4;10.0.2.5;TCP;66;37054  >  445 [ACK] Seq=701 Ack=921 Win=64128 Len=0 TSval=71728671 TSecr=205943
10926;47.560.506.868;10.0.2.4;10.0.2.5;SMB2;168;Tree Connect Request Tree: \\\\HETEAM\\IPC$
10927;47.561.093.264;10.0.2.5;10.0.2.4;SMB2;150;Tree Connect Response
10928;47.561.128.609;10.0.2.4;10.0.2.5;TCP;66;37054  >  445 [ACK] Seq=803 Ack=1005 Win=64128 Len=0 TSval=71728689 TSecr=205945
10929;47.577.685.828;10.0.2.4;10.0.2.5;SMB2;198;Create Request File: samr
10930;47.578.081.182;10.0.2.5;10.0.2.4;SMB2;143;Create Response, Error: STATUS_ACCESS_DENIED
10931;47.578.100.000;10.0.2.4;10.0.2.5;TCP;66;37054  >  445 [ACK] Seq=935 Ack=1082 Win=64128 Len=0 TSval=71728706 TSecr=205947
10932;47.594.462.191;10.0.2.4;10.0.2.5;SMB2;138;Tree Disconnect Request
10933;47.594.905.311;10.0.2.5;10.0.2.4;SMB2;138;Tree Disconnect Response
10934;47.594.944.881;10.0.2.4;10.0.2.5;TCP;66;37054  >  445 [ACK] Seq=1007 Ack=1154 Win=64128 Len=0 TSval=71728723 TSecr=205948
10935;47.609.901.025;10.0.2.4;10.0.2.5;SMB2;138;Session Logoff Request
10936;47.610.364.175;10.0.2.5;10.0.2.4;SMB2;138;Session Logoff Response
10937;47.610.386.057;10.0.2.4;10.0.2.5;TCP;66;37054  >  445 [ACK] Seq=1079 Ack=1226 Win=64128 Len=0 TSval=71728738 TSecr=205950
10938;47.619.472.922;10.0.2.4;10.0.2.5;TCP;66;37054  >  445 [RST, ACK] Seq=1079 Ack=1226 Win=64128 Len=0 TSval=71728747 TSecr=205950
10939;47.637.999.173;10.0.2.4;10.0.2.5;TCP;74;37056  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=71728766 TSecr=0 WS=128
