;No.;Time;Source;Destination;Protocol;Length;Info
128;129;155.438389368;10.0.2.15;10.0.2.5;TCP;74;45950  >  111 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757179 TSecr=0 WS=128
129;130;155.438508681;10.0.2.15;10.0.2.5;TCP;66;38906  >  25 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2552757180 TSecr=725402
130;131;155.438508751;10.0.2.15;10.0.2.5;TCP;74;60174  >  995 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757180 TSecr=0 WS=128
131;132;155.438579404;10.0.2.15;10.0.2.5;TCP;74;42618  >  1025 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757180 TSecr=0 WS=128
132;133;155.438579464;10.0.2.15;10.0.2.5;TCP;74;36906  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757180 TSecr=0 WS=128
133;134;155.438655456;10.0.2.15;10.0.2.5;TCP;74;37796  >  23 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757180 TSecr=0 WS=128
134;135;155.438689019;10.0.2.15;10.0.2.5;TCP;66;38906  >  25 [RST, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2552757180 TSecr=725402
135;136;155.438818211;10.0.2.15;10.0.2.5;TCP;74;52250  >  1277 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757180 TSecr=0 WS=128
136;137;155.438818291;10.0.2.15;10.0.2.5;TCP;74;56932  >  2875 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757180 TSecr=0 WS=128
137;138;155.43898444299998;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 58338  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128
