No.;Time;Source;Destination;Protocol;Length;Info
143;97.995.013.345;10.0.2.8;10.0.2.7;TCP;74;51108  >  33899 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160465 TSecr=0 WS=128
144;97.995.351.488;10.0.2.7;10.0.2.8;TCP;60;5989  >  45164 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
145;97.995.351.727;10.0.2.7;10.0.2.8;TCP;60;4004  >  40584 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
146;97.995.627.452;10.0.2.8;10.0.2.7;TCP;74;57096  >  8701 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160465 TSecr=0 WS=128
147;97.995.968.538;10.0.2.7;10.0.2.8;TCP;60;1048  >  41396 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
148;97.996.055.366;10.0.2.8;10.0.2.7;TCP;74;60778  >  2800 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160466 TSecr=0 WS=128
149;97.996.254.195;10.0.2.7;10.0.2.8;TCP;60;33899  >  51108 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
150;97.996.254.415;10.0.2.7;10.0.2.8;TCP;60;8701  >  57096 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
151;97.996.592.106;10.0.2.8;10.0.2.7;TCP;74;50084  >  1037 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160466 TSecr=0 WS=128
152;97.996.931.965;10.0.2.7;10.0.2.8;TCP;60;2800  >  60778 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
153;97.997.003.945;10.0.2.8;10.0.2.7;TCP;74;41340  >  711 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160466 TSecr=0 WS=128
154;97.997.114.313;10.0.2.8;10.0.2.7;TCP;74;45648  >  5666 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160467 TSecr=0 WS=128
155;97.997.377.963;10.0.2.7;10.0.2.8;TCP;60;1037  >  50084 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
156;97.997.629.117;10.0.2.8;10.0.2.7;TCP;74;48718  >  1063 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160467 TSecr=0 WS=128
157;97.998.003.418;10.0.2.7;10.0.2.8;TCP;60;711  >  41340 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
158;97.998.003.647;10.0.2.7;10.0.2.8;TCP;60;5666  >  45648 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
159;97.998.144.842;10.0.2.8;10.0.2.7;TCP;74;50108  >  49163 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160468 TSecr=0 WS=128
160;97.998.492.057;10.0.2.7;10.0.2.8;TCP;60;1063  >  48718 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
161;97.998.604.011;10.0.2.8;10.0.2.7;TCP;74;36394  >  1097 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160468 TSecr=0 WS=128
162;97.998.711.636;10.0.2.8;10.0.2.7;TCP;74;44668  >  1121 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160468 TSecr=0 WS=128
163;97.999.156.602;10.0.2.8;10.0.2.7;TCP;74;43246  >  1700 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160469 TSecr=0 WS=128
164;97.999.490.334;10.0.2.7;10.0.2.8;TCP;60;49163  >  50108 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
165;97.999.490.573;10.0.2.7;10.0.2.8;TCP;60;1097  >  36394 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
